FHJKLNPQRSTY,2,
(2/2) + 2 = ?,11,False,F,
(2 * 6) - 2 = ?,10,True,P,
FHJKLNPQRSTY,2,
(8/8) + 7 = ?,8,True,Q,
(1 * 9) + 5 = ?,15,False,J,
FHJKLNPQRSTY,3,
(4 * 3) + 3 = ?,10,False,H,
(3 * 3) - 3 = ?,6,True,K,
(6/6) - 1 = ?,0,False,T,
FHJKLNPQRSTY,3,
(1 * 3) - 3 = ?,7,False,S,
(1 * 3) + 6 = ?,9,False,N,
(6/6) - 1 = ?,7,False,R,
FHJKLNPQRSTY,15,
(1 * 2) + 1 = ?,3,True,A,
(1/1) - 1 = ?,2,False,B,
(7 * 3) - 3 = ?,18,True,C,
(4 * 3) + 4 = ?,16,True,D,
(3/3) + 2 = ?,1,False,E,
(2 * 6) - 4 = ?,6,False,F,
(8 * 9) - 8 = ?,64,True,G,
(4 * 5) - 5 = ?,11,False,H,
(4 * 2) + 6 = ?,14,True,I,
(4/4) + 7 = ?,12,False,J,
(8 * 2) - 8 = ?,2,False,K,
(2 * 9) - 9 = ?,9,True,L,
(8/2) + 9 = ?,7,False,M,
(3 * 8) - 1 = ?,23,True,N,
(6/3) + 1 = ?,3,True,O,
FHJKLNPQRSTY,2,
(1 * 9) - 6 = ?,3,True,F,
(2 * 1) - 1 = ?,1,True,S,
FHJKLNPQRSTY,2,
(2 * 2) - 4 = ?,9,False,R,
(2 * 6) + 2 = ?,22,False,P,
FHJKLNPQRSTY,2,
(6/6) - 1 = ?,0,True,N,
(4 * 3) - 1 = ?,5,False,S,
FHJKLNPQRSTY,2,
(6/6) - 1 = ?,0,True,N,
(4 * 3) - 1 = ?,5,False,S,